elementId,quantity
300126,2
6252902,4
302326,7
362326,2
371026,10
366626,1
302226,1
242026,2
302026,4
379526,4
6174917,12
303226,1
303526,3
6101857,8
6092585,2
6199908,4
6469445,13
6037746,12
370526,2
306826,2
4560182,2
6458165,2
6347945,1
4206330,6
6336390,2
6308045,2
6118832,14
4211098,28
4211088,17
4211104,2
4211103,3
4211060,1
4211105,2
4211085,2
4618881,1
6075060,2
6411327,1
4211044,2
4558955,5
6228923,21
6230233,6
4210719,57
4211063,52
4211133,22
4211001,14
4211056,5
4211094,7
4210635,3
4211043,13
4211065,10
4211002,2
6039176,10
4243831,2
4211115,1
4211061,1
4211134,1
4210794,3
6411395,2
6388119,1
6092572,3
6309059,1
6401210,4
4504378,20
4211045,2
4211135,6
6013658,5
6029948,85
6204668,17
6204667,13
4246896,10
4210848,40
4211052,39
4568734,14
4211053,11
6265306,2
4211055,26
6458171,2
6199549,46
6344022,2
6177079,1
6501125,1
6164073,8
6143423,3
6143417,2
4210872,2
4210869,2
4210897,1
4210788,1
4210782,2
4290149,1
6227909,6
6473421,4
6473419,5
6266967,14
6400754,100
6092591,2
4211399,3
4211429,3
4211445,1
4211397,2
4211353,1
4211396,3
4211395,1
6015347,1
4211405,4
4211525,6
4579294,2
6066097,10
6211969,5
6126082,3
6212077,1
4211415,8
4211414,5
4558169,1
4211356,5
4211413,1
6284071,9
6176433,6
6507791,2
6177078,2
6186657,8
6163478,1
4211794,1
4211791,4
4211735,1
4211732,1
6344702,2
6344703,1
6292145,16
6398008,31
6285465,42
6058245,2
6016483,3
6002841,2
6284595,3
6454942,7
6372430,17
6326087,15
6382326,6
6269077,4
6428805,1
6341968,5
6476174,6
4211242,1
4211149,4
6299939,1
6133833,2
6371437,4
6573746,1
6433392,10
6365885,6
6201911,2
6500421,3
6422088,3
4221744,9
4211150,22
4211152,6
4211190,6
4221590,1
4216945,3
4216695,4
4211257,2
4211189,3
4211247,1
6306775,1
4216581,1
6153863,5
6138664,11
6196221,2
4504376,10
6172922,2
6069984,15
6290397,5
6290396,4
6325975,5
6397610,8
4620075,4
4211288,6
4211151,4
6328180,3
6149677,9
6348057,8
6218366,1
6385262,1
6021336,1
6554327,1
6514262,6
6554492,4
6514455,3
6513962,19
6514001,83
6245250,8
6508253,10
6254254,4
6514223,24
6404363,1
6328195,5
6417971,2
6234807,4
6399461,1
6206149,6
6552226,6
302401,4
362301,2
242001,2
6051511,19
6126046,4
307001,4
306901,2
4558168,2
306801,2
6250591,2
6186681,3
